# id	file_path	transparent_color_r	g	b
[TEXTURES]
101	textures\CarAndMainRight.png	255	255	255
100	textures\CarAndMainLeft.png	255	255	255
4	textures\map1.png	0	0	0
50	textures\enemies3.png	255	255	255
5	textures\jason.jpeg	255	255	255
6	textures\items.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#bg
10001	0	1264	232	1608	4
#Gun
20001	12	3	20	11	100
20002	390	3	398	11	101
20003	30	3	38	11	100
#Main
70001	39	3	55	11	100
70002	355	3	371	11	101
70003	73	3	89	19	100
70004	108	3	124	19	100
#RightWheel
30001	390	21	398	29	101
30002	399	21	407	29	101
30003	372	21	380	29	101
30004	381	21	389	29	101
#LeftWheel
40001	12	21	20	29	100
40002	3	21	11	29	100
40003	30	21	38	29	100
40004	21	21	29	29	100
#IdleWheel
50001	12	21	20	29	100
#Connector
60001	39	21	47	29	100
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#BG
10	10001	100
#gun 
20	20001	100
21	20002	100
22	20003	100
#RightWheel
30	30001	100	30002	100	30003	100	30004	100
#LeftWheel
40	40001	100	40002	100	40003	100	40004	100
#connector
60	60001	100
#idleWheel
50	50001	100
#main
70	70001	100
71	70002	100
72	70003	100
73	70004	100
#moving right 
301	30001	30	30002	30	30003	30	30004	30
#moving left 
401	40001	30	40002	30	40003	30	40004	30
[ANIMATION_SETS]
#BG
4	10
#main
0	70	71	72	73
#gun
1	20	21	22
#wheel
2	50	301	401
#connector
3	60
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
#Background
20	0	288	4
#mainobject			
0	48	144	0
#gun			
2	185	376	1
#connector			
3	0	436	3
#wheel			
4	0	486	2
# BRICK 
1	80	224	-1
1	88	224	-1
1	96	224	-1
1	104	224	-1
1	112	224	-1
1	120	224	-1
1	128	224	-1
1	136	224	-1
1	144	224	-1
1	152	224	-1
1	160	224	-1
1	168	224	-1
1	176	224	-1
1	184	224	-1
1	192	224	-1
1	200	224	-1
1	80	216	-1
1	88	216	-1
1	96	216	-1
1	104	216	-1
1	112	216	-1
1	120	216	-1
1	128	216	-1
1	136	216	-1
1	144	216	-1
1	152	216	-1
1	160	216	-1
1	168	216	-1
1	176	216	-1
1	184	216	-1
1	192	216	-1
1	200	216	-1
1	80	208	-1
1	88	208	-1
1	192	208	-1
1	200	208	-1
1	80	200	-1
1	88	200	-1
1	192	200	-1
1	200	200	-1
1	48	192	-1
1	56	192	-1
1	64	192	-1
1	72	192	-1
1	80	192	-1
1	88	192	-1
1	48	184	-1
1	56	184	-1
1	64	184	-1
1	72	184	-1
1	80	184	-1
1	88	184	-1
1	192	192	-1
1	200	192	-1
1	208	192	-1
1	216	192	-1
1	224	192	-1
1	232	192	-1
1	192	184	-1
1	200	184	-1
1	208	184	-1
1	216	184	-1
1	224	184	-1
1	232	184	-1
1	48	176	-1
1	48	168	-1
1	56	176	-1
1	56	168	-1
1	224	176	-1
1	224	168	-1
1	224	160	-1
1	224	152	-1
1	224	144	-1
1	224	136	-1
1	224	128	-1
1	224	120	-1
1	232	176	-1
1	232	168	-1
1	232	160	-1
1	232	152	-1
1	232	144	-1
1	232	136	-1
1	232	128	-1
1	232	120	-1
1	8	160	-1
1	16	160	-1
1	24	160	-1
1	32	160	-1
1	40	160	-1
1	48	160	-1
1	56	160	-1
1	8	152	-1
1	16	152	-1
1	24	152	-1
1	32	152	-1
1	40	152	-1
1	48	152	-1
1	56	152	-1
1	32	144	-1
1	40	144	-1
1	48	144	-1
1	56	144	-1
1	32	136	-1
1	32	128	-1
1	32	120	-1
1	40	136	-1
1	40	128	-1
1	40	120	-1
1	8	112	-1
1	16	112	-1
1	24	112	-1
1	32	112	-1
1	40	112	-1
1	48	112	-1
1	56	112	-1
1	64	112	-1
1	72	112	-1
1	80	112	-1
1	88	112	-1
1	8	104	-1
1	16	104	-1
1	24	104	-1
1	32	104	-1
1	40	104	-1
1	48	104	-1
1	56	104	-1
1	64	104	-1
1	72	104	-1
1	80	104	-1
1	88	104	-1
1	200	112	-1
1	208	112	-1
1	216	112	-1
1	224	112	-1
1	232	112	-1
1	200	104	-1
1	208	104	-1
1	216	104	-1
1	224	104	-1
1	232	104	-1
1	200	96	-1
1	208	96	-1
1	216	96	-1
1	224	96	-1
1	232	96	-1
1	200	88	-1
1	208	88	-1
1	216	88	-1
1	224	88	-1
1	232	88	-1
1	80	96	-1
1	88	96	-1
1	80	88	-1
1	88	88	-1
1	80	80	-1
1	88	80	-1
1	96	80	-1
1	104	80	-1
1	80	72	-1
1	88	72	-1
1	96	72	-1
1	104	72	-1
1	112	80	-1
1	112	72	-1
1	112	64	-1
1	112	56	-1
1	112	48	-1
1	112	40	-1
1	120	80	-1
1	120	72	-1
1	120	64	-1
1	120	56	-1
1	120	48	-1
1	120	40	-1
1	128	48	-1
1	136	48	-1
1	144	48	-1
1	152	48	-1
1	160	48	-1
1	168	48	-1
1	128	40	-1
1	136	40	-1
1	144	40	-1
1	152	40	-1
1	160	40	-1
1	168	40	-1
1	160	80	-1
1	160	72	-1
1	160	64	-1
1	160	56	-1
1	168	80	-1
1	168	72	-1
1	168	64	-1
1	168	56	-1
1	176	80	-1
1	184	80	-1
1	192	80	-1
1	200	80	-1
1	208	80	-1
1	216	80	-1
1	224	80	-1
1	232	80	-1
1	176	72	-1
1	184	72	-1
1	192	72	-1
1	200	72	-1
1	208	72	-1
1	216	72	-1
1	224	72	-1
1	232	72	-1
#portal
100	192	84	3000099	224	116	4
